,0,1
0,10.0,400.0
1,10.5,400.0
2,11.0,400.0
3,11.5,400.0
4,12.0,400.0
5,12.5,400.0
6,13.0,400.0
7,13.5,400.0
8,14.0,400.0
9,14.5,400.0
10,15.0,400.0
11,15.5,400.0
12,16.0,400.0
13,16.5,400.0
14,17.0,400.0
15,17.5,400.0
16,18.0,400.0
17,18.5,400.0
18,19.0,400.0
19,19.5,400.0
20,20.0,400.0
21,20.5,400.0
22,21.0,400.0
23,21.5,400.0
24,22.0,400.0
25,22.5,400.0
26,23.0,400.0
27,23.5,400.0
28,24.0,400.0
29,24.5,400.0
30,25.0,400.0
31,25.5,400.0
32,26.0,400.0
33,26.5,400.0
34,27.0,400.0
35,27.5,400.0
36,28.0,400.0
37,28.5,400.0
38,29.0,400.0
39,29.5,400.0
40,30.0,400.0
41,10.0,425.0
42,10.5,425.0
43,11.0,425.0
44,11.5,425.0
45,12.0,425.0
46,12.5,425.0
47,13.0,425.0
48,13.5,425.0
49,14.0,425.0
50,14.5,425.0
51,15.0,425.0
52,15.5,425.0
53,16.0,425.0
54,16.5,425.0
55,17.0,425.0
56,17.5,425.0
57,18.0,425.0
58,18.5,425.0
59,19.0,425.0
60,19.5,425.0
61,20.0,425.0
62,20.5,425.0
63,21.0,425.0
64,21.5,425.0
65,22.0,425.0
66,22.5,425.0
67,23.0,425.0
68,23.5,425.0
69,24.0,425.0
70,24.5,425.0
71,25.0,425.0
72,25.5,425.0
73,26.0,425.0
74,26.5,425.0
75,27.0,425.0
76,27.5,425.0
77,28.0,425.0
78,28.5,425.0
79,29.0,425.0
80,29.5,425.0
81,30.0,425.0
82,10.0,450.0
83,10.5,450.0
84,11.0,450.0
85,11.5,450.0
86,12.0,450.0
87,12.5,450.0
88,13.0,450.0
89,13.5,450.0
90,14.0,450.0
91,14.5,450.0
92,15.0,450.0
93,15.5,450.0
94,16.0,450.0
95,16.5,450.0
96,17.0,450.0
97,17.5,450.0
98,18.0,450.0
99,18.5,450.0
100,19.0,450.0
101,19.5,450.0
102,20.0,450.0
103,20.5,450.0
104,21.0,450.0
105,21.5,450.0
106,22.0,450.0
107,22.5,450.0
108,23.0,450.0
109,23.5,450.0
110,24.0,450.0
111,24.5,450.0
112,25.0,450.0
113,25.5,450.0
114,26.0,450.0
115,26.5,450.0
116,27.0,450.0
117,27.5,450.0
118,28.0,450.0
119,28.5,450.0
120,29.0,450.0
121,29.5,450.0
122,30.0,450.0
123,10.0,475.0
124,10.5,475.0
125,11.0,475.0
126,11.5,475.0
127,12.0,475.0
128,12.5,475.0
129,13.0,475.0
130,13.5,475.0
131,14.0,475.0
132,14.5,475.0
133,15.0,475.0
134,15.5,475.0
135,16.0,475.0
136,16.5,475.0
137,17.0,475.0
138,17.5,475.0
139,18.0,475.0
140,18.5,475.0
141,19.0,475.0
142,19.5,475.0
143,20.0,475.0
144,20.5,475.0
145,21.0,475.0
146,21.5,475.0
147,22.0,475.0
148,22.5,475.0
149,23.0,475.0
150,23.5,475.0
151,24.0,475.0
152,24.5,475.0
153,25.0,475.0
154,25.5,475.0
155,26.0,475.0
156,26.5,475.0
157,27.0,475.0
158,27.5,475.0
159,28.0,475.0
160,28.5,475.0
161,29.0,475.0
162,29.5,475.0
163,30.0,475.0
164,10.0,500.0
165,10.5,500.0
166,11.0,500.0
167,11.5,500.0
168,12.0,500.0
169,12.5,500.0
170,13.0,500.0
171,13.5,500.0
172,14.0,500.0
173,14.5,500.0
174,15.0,500.0
175,15.5,500.0
176,16.0,500.0
177,16.5,500.0
178,17.0,500.0
179,17.5,500.0
180,18.0,500.0
181,18.5,500.0
182,19.0,500.0
183,19.5,500.0
184,20.0,500.0
185,20.5,500.0
186,21.0,500.0
187,21.5,500.0
188,22.0,500.0
189,22.5,500.0
190,23.0,500.0
191,23.5,500.0
192,24.0,500.0
193,24.5,500.0
194,25.0,500.0
195,25.5,500.0
196,26.0,500.0
197,26.5,500.0
198,27.0,500.0
199,27.5,500.0
200,28.0,500.0
201,28.5,500.0
202,29.0,500.0
203,29.5,500.0
204,30.0,500.0
205,10.0,525.0
206,10.5,525.0
207,11.0,525.0
208,11.5,525.0
209,12.0,525.0
210,12.5,525.0
211,13.0,525.0
212,13.5,525.0
213,14.0,525.0
214,14.5,525.0
215,15.0,525.0
216,15.5,525.0
217,16.0,525.0
218,16.5,525.0
219,17.0,525.0
220,17.5,525.0
221,18.0,525.0
222,18.5,525.0
223,19.0,525.0
224,19.5,525.0
225,20.0,525.0
226,20.5,525.0
227,21.0,525.0
228,21.5,525.0
229,22.0,525.0
230,22.5,525.0
231,23.0,525.0
232,23.5,525.0
233,24.0,525.0
234,24.5,525.0
235,25.0,525.0
236,25.5,525.0
237,26.0,525.0
238,26.5,525.0
239,27.0,525.0
240,27.5,525.0
241,28.0,525.0
242,28.5,525.0
243,29.0,525.0
244,29.5,525.0
245,30.0,525.0
246,10.0,550.0
247,10.5,550.0
248,11.0,550.0
249,11.5,550.0
250,12.0,550.0
251,12.5,550.0
252,13.0,550.0
253,13.5,550.0
254,14.0,550.0
255,14.5,550.0
256,15.0,550.0
257,15.5,550.0
